TypeOfVisitor,UserPage VisitDuration,Bounce Rate ,WebPageValue,BrowserServer,InformationRelatedPageVisitDuration ,Month,ExitRate,ProductRelatedPages ,ProductRelatedPageVisitDuration,DischargePattern,InformationRelatedPage,Weekend,Holiday,Area,OperatingSystem,UserRelatedPages,Buy 
Returning_Visitor,0,0,0,2,0,May,0.05,8,676,13,0,FALSE,0,2,2,0,0
Returning_Visitor,0,0,0,2,0,Nov,0.033333333,6,142.125,2,0,FALSE,0,6,3,0,0
Returning_Visitor,0,0.2,0,2,0,Dec,0.2,2,0,1,0,FALSE,0,3,2,0,0
New_Visitor,0,0,61.9395,2,0,Mar,0.0125,17,766.5,2,0,TRUE,0,1,2,0,1
Returning_Visitor,0,0,0,2,0,Jul,0.033333333,15,598.6,2,0,FALSE,0,1,2,0,0
New_Visitor,0,0.004166667,20.11751289,2,267.1666667,Mar,0.011458333,39,881.4416667,1,11,FALSE,0,3,2,0,0
Returning_Visitor,13,0.006153846,0,2,0,May,0.015128205,63,4833.925,4,0,FALSE,0,6,2,2,0
Returning_Visitor,269.5,3.35E-05,2.873954681,2,704.8699248,May,0.014896228,187,9487.639162,2,19,FALSE,0,1,2,2,0
Returning_Visitor,0,0,0,2,28,Mar,0.01,8,290,2,1,FALSE,0,1,2,0,0
Returning_Visitor,0,0,10.23187302,2,0,Mar,0.023809524,20,2270.833333,6,1,FALSE,0,3,2,0,1
New_Visitor,0,0,0,4,0,Dec,0.033333333,12,770.25,8,0,FALSE,0,1,2,0,0
Returning_Visitor,0,0,0,2,0,May,0.01,10,224,4,0,FALSE,0.4,1,2,0,0
Returning_Visitor,0,0,0,2,31.5,Mar,0.04,13,956.5,13,3,FALSE,0,1,2,0,0
Returning_Visitor,597.5833333,0.007452575,79.48403933,1,446.9333333,Dec,0.033986814,62,2350.667857,10,17,FALSE,0,7,1,8,0
Returning_Visitor,0,0,0,2,0,Nov,0.010526316,38,1593.583333,1,0,FALSE,0,2,2,0,0
Returning_Visitor,0,0.04375,0,1,22,May,0.075277778,22,512.05,2,2,FALSE,0.6,3,1,0,0
Returning_Visitor,0,0.03030303,0,2,103,May,0.042121212,31,831.6666667,13,4,FALSE,0,6,3,0,0
Returning_Visitor,0,0.008,25.00423187,2,493.75,Dec,0.018666667,22,1525,1,13,TRUE,0,1,3,0,1
Returning_Visitor,0,0.1125,0,2,0,Aug,0.145833333,16,709.4,1,0,FALSE,0,9,2,0,0
Returning_Visitor,0,0.00917226,0,1,7,May,0.0210895,151,2564.278157,15,1,FALSE,0.6,1,1,0,0
New_Visitor,0,0,38.00063931,2,0,Nov,0.002352941,87,1197.700198,2,0,FALSE,0,1,2,0,1
Returning_Visitor,52.5,0.004361055,44.69642794,2,172.375,Nov,0.017955889,226,12900.7676,2,7,FALSE,0,1,2,2,1
New_Visitor,0,0,0,10,175.1,Jul,0.011111111,3,27.6,5,6,FALSE,0,3,2,0,0
Returning_Visitor,0,0.2,0,2,0,May,0.2,1,0,4,0,FALSE,0,1,2,0,0
Returning_Visitor,0,0,0,2,81.4,Aug,0.030434783,18,240.3,6,3,FALSE,0,1,2,0,0
Returning_Visitor,0,0.027619048,0,2,310.6333333,May,0.03614966,28,606.4166667,1,12,TRUE,0,2,3,0,0
New_Visitor,0,0,0,1,0,Dec,0.022222222,10,677.6666667,2,0,FALSE,0,3,4,0,0
Returning_Visitor,0,0.2,0,1,0,Mar,0.2,1,0,3,0,FALSE,0,1,1,0,0
Returning_Visitor,5,0.028571429,0,2,0,Jul,0.042857143,5,122.4,4,0,TRUE,0,2,3,2,0
New_Visitor,0,0,0,8,101,May,0.0125,17,300.6666667,2,3,FALSE,0,1,1,0,0
Returning_Visitor,0,0,0,1,41.2,Oct,0.008627451,51,820.4833333,1,2,FALSE,0,1,4,0,0
Returning_Visitor,0,0.018181818,0,2,0,Nov,0.036363636,11,271,3,0,FALSE,0,1,2,0,0
Returning_Visitor,0,0.066666667,0,1,0,Nov,0.088888889,3,53,2,0,TRUE,0,3,1,0,0
Returning_Visitor,0,0.001818182,0,2,64,Mar,0.018030303,53,1200.892857,1,4,TRUE,0,4,2,0,0
Returning_Visitor,0,0.08,0,2,0,Mar,0.12,5,23,1,0,FALSE,0,1,2,0,0
Returning_Visitor,0,0.025595238,0,2,70.33333333,NAN,0.054241071,29,1049.313889,2,5,TRUE,0,3,3,0,0
Returning_Visitor,0,0,0,2,119.3333333,Dec,0.009057596,174,5602.593506,1,4,FALSE,0,4,2,0,0
New_Visitor,0,0,0,2,102.5,Nov,0.027272727,9,64.75,2,7,FALSE,0,5,2,0,0
Returning_Visitor,0,0.1,0,2,0,May,0.111111111,3,52,6,2,TRUE,0,1,1,0,0
Returning_Visitor,0,0.2,0,2,0,Mar,0.2,1,0,1,0,FALSE,0,1,2,0,0
New_Visitor,0,0,58.788,2,0,May,0.028571429,8,240,2,0,FALSE,0.2,3,2,0,1
Returning_Visitor,0,0,0,13,0,Dec,0.033333333,6,316.25,20,0,FALSE,0,9,3,0,0
Returning_Visitor,19,0.007843137,8.926823529,2,14,May,0.017647059,49,1527.583333,3,1,FALSE,0,9,2,1,1
Returning_Visitor,0,0,0,4,0,Mar,0.029761905,17,1394.666667,6,2,FALSE,0,2,2,0,0
Returning_Visitor,85.14,0.003636364,12.12586885,2,515.6133333,Aug,0.011878788,50,1558.62,4,10,TRUE,0,4,3,3,1
Returning_Visitor,0,0,0,1,0,Mar,0.006818182,44,1112,3,0,TRUE,0,4,4,0,0
Returning_Visitor,0,0.030848861,0,1,0,Nov,0.057391304,22,812.3,10,0,TRUE,0,4,1,1,0
New_Visitor,31,0,37.6992,1,219.25,NAN,0.007666667,18,374.3809524,5,9,FALSE,0,1,1,2,0
Returning_Visitor,136.1714286,0.013333333,0,2,128,Oct,0.021666667,13,847.6142857,4,1,TRUE,0,8,3,2,0
Returning_Visitor,0,0,0,1,77,Mar,0.028571429,6,112,2,2,TRUE,0,2,1,0,0
Returning_Visitor,0,0.057142857,0,2,103.8,Aug,0.04,4,683.4,1,3,,0,6,3,0,0
New_Visitor,0,0,0,4,200.8333333,Mar,0.009090909,18,381.3333333,2,4,TRUE,0,7,2,0,0
Returning_Visitor,0,0.005263158,10.93482456,2,154.2916667,Mar,0.01443609,34,991.3678571,2,8,FALSE,0,2,2,0,0
New_Visitor,0,0,24.75047619,1,78,Mar,0.002380952,21,555.8944444,2,1,FALSE,0,1,1,0,1
Returning_Visitor,0,0,0,2,100,May,0.005,8,127.6666667,2,3,FALSE,0,4,3,0,0
Returning_Visitor,0,0.138461538,0,2,0,Aug,0.143589744,13,70.4,13,0,FALSE,0,2,2,0,0
Returning_Visitor,0,0,0,2,261,May,0.028571429,6,486,2,2,FALSE,0.6,3,1,0,0
Returning_Visitor,54,0,0,2,42,Mar,0.008333333,10,420,1,2,FALSE,0,8,2,2,0
Returning_Visitor,0,0,0,2,0,Nov,0.019811321,55,2415.416667,11,0,TRUE,0,3,2,0,0
Returning_Visitor,0,0.004166667,0,2,73.33333333,Nov,0.023639456,52,1543.75,13,4,FALSE,0,9,2,1,0
Returning_Visitor,0,0.2,0,2,0,May,0.2,1,0,6,0,FALSE,0.2,3,3,0,0
Returning_Visitor,0,0.2,0,1,0,Nov,0.2,1,0,2,0,FALSE,0,6,1,0,0
NAN,0,0.028571429,64.95645099,13,104,Dec,0.057142857,5,152.5,20,1,FALSE,0,9,2,0,1
Returning_Visitor,75.5,0.003003003,0,2,0,Nov,0.01899841,109,4008.578283,2,0,FALSE,0,1,2,2,1
Returning_Visitor,0,0,0,1,39,Mar,0.021875,15,787,10,1,FALSE,0,1,4,0,0
Returning_Visitor,0,0.023529412,0,7,0,May,0.052941176,17,252,11,0,FALSE,0.8,9,2,0,0
Returning_Visitor,0,0,112.4141272,1,213,Oct,0,2,338,5,3,FALSE,0,1,1,0,1
Returning_Visitor,0,0.023931624,0,2,0,May,0.03956044,13,152.3333333,3,0,FALSE,0.8,4,2,0,0
Returning_Visitor,0,0.007017544,13.59007196,1,0,Oct,0.007017544,21,344.1714286,2,0,FALSE,0,3,1,0,1
Returning_Visitor,0,0,0,2,0,Mar,0.066666667,3,51.5,10,0,TRUE,0,1,3,0,0
Returning_Visitor,1060.75,0.007159986,21.3825758,2,141.9166667,Dec,0.016360941,136,8777.613879,2,6,FALSE,0,1,3,2,1
New_Visitor,0,0,0,2,0,Dec,0.016666667,12,276,2,0,FALSE,0,8,2,0,0
Returning_Visitor,0,0.026923077,0,2,406.4166667,May,0.051538462,21,352.4166667,1,9,TRUE,0,3,3,0,0
Returning_Visitor,0,0.2,0,10,0,Nov,0.2,1,0,1,0,FALSE,0,3,2,0,0
Returning_Visitor,0,0.015789474,19.448,2,32,May,0.022807018,18,299.5,1,1,TRUE,0,5,2,0,1
Returning_Visitor,0,0.00021645,0,1,96,Nov,0.025137085,81,2833.814103,2,5,FALSE,0,7,4,0,0
Returning_Visitor,0,0.038095238,0,1,0,Nov,0.038571429,7,1721.666667,3,0,FALSE,0,3,1,0,0
New_Visitor,47,0,0,1,28,Mar,0.014285714,13,224.5,8,1,FALSE,0,1,1,1,0
Returning_Visitor,0,0.006451613,0,2,104,May,0.012903226,33,777.3666667,6,4,FALSE,0,3,3,0,0
Returning_Visitor,0,0.002173913,40.51760545,2,99.75,Nov,0.012934783,89,2520.056936,3,3,FALSE,0,1,2,0,1
Returning_Visitor,0,0.02,0,2,0,Nov,0.024,10,348.25,13,0,FALSE,0,4,2,0,0
Returning_Visitor,0,0.004545455,0,2,0,Nov,0.023295455,44,1184.269841,2,0,FALSE,0,1,1,0,0
Returning_Visitor,0,0,0,4,0,Nov,0.033333333,12,338.75,2,0,FALSE,0,1,2,0,0
Returning_Visitor,284,0.011898734,0,2,23,Dec,0.02841508,78,2448.536054,10,1,FALSE,0,3,2,1,0
Returning_Visitor,0,0.030769231,0,2,0,Nov,0.076923077,13,135.875,1,0,TRUE,0,1,1,0,0
Returning_Visitor,0,0,0,1,34.5,Nov,0.031153846,40,1473.658333,10,1,TRUE,0,8,1,0,0
Returning_Visitor,0,0,0,2,0,Aug,0.016666667,3,146.4,3,0,FALSE,0,1,3,0,0
Returning_Visitor,0,0.021428571,0,5,57.3,June,0.067517007,25,488.7166667,1,4,FALSE,0,1,2,0,0
Returning_Visitor,0,0,0,2,0,Mar,0.023933659,21,399.8511905,1,0,FALSE,0,1,3,0,0
Returning_Visitor,0,0.034482759,1.444763592,2,0,June,0.048357964,30,1737.016667,3,0,TRUE,0,4,3,0,0
Returning_Visitor,52.4,0.01010929,2.006032937,1,603.9,Sep,0.0254213,46,1760.657143,4,14,TRUE,0,6,1,2,0
Returning_Visitor,47,0.005853659,33.9251122,1,89.8,May,0.014390244,39,1167.966667,3,4,FALSE,0,3,4,1,1
Returning_Visitor,125.5,0.001851852,10.12959599,2,146,Nov,0.026820988,99,3881.938907,3,8,FALSE,0,9,2,5,0
Returning_Visitor,0,0.02,0,2,0,Dec,0.08,10,516.75,1,0,FALSE,0,3,4,0,0
Returning_Visitor,0,0,0,2,0,Nov,0.020833333,12,599.6133333,20,0,TRUE,0,4,2,0,0
Returning_Visitor,0,0,0,2,0,Nov,0.033333333,3,408,3,0,FALSE,0,4,2,0,0
Returning_Visitor,0,0.003174603,0,2,602,May,0.012962963,64,1810.966667,6,3,FALSE,0,1,3,0,0
Returning_Visitor,0,0.005555556,0,2,107.3666667,Nov,0.04,11,151.3,3,6,FALSE,0,1,2,0,0
New_Visitor,0,0,0,2,115.0833333,Nov,0.014285714,3,50.25,2,5,FALSE,0,4,3,0,0
Returning_Visitor,0,0,0,2,0,May,0.025,20,1511,6,0,FALSE,0.6,3,2,0,0
Returning_Visitor,0,0,0,2,0,Jul,0.054545455,11,315.58,1,0,TRUE,0,4,2,0,0
Returning_Visitor,0,0,5.468093499,4,0,Nov,0.008744589,112,6673.291392,3,0,FALSE,0,1,2,0,0
New_Visitor,0,0,0,4,21.2,Oct,0.004545455,21,836.1,4,1,FALSE,0,9,2,0,0
Returning_Visitor,0,0.018518519,0,2,262,May,0.04526749,22,623.4166667,2,10,FALSE,0.2,1,3,0,0
Returning_Visitor,0,0,0,4,0,Mar,0.066666667,3,15,1,0,TRUE,0,3,2,0,0
Returning_Visitor,0,0.2,0,8,0,Nov,0.2,2,0,1,0,TRUE,0,3,1,0,0
Returning_Visitor,0,0.015789474,0,2,0,May,0.051754386,19,960.7333333,6,0,TRUE,0,4,2,0,0
Returning_Visitor,42,0.010632603,2.209003373,2,224,Nov,0.014962157,132,5098.75498,2,3,FALSE,0,1,1,2,1
NAN,nan,0.00862069,9.128607511,5,79.7,Oct,0.016896552,27,1051.55,13,5,FALSE,0,1,2,0,0
Returning_Visitor,193.25,0.008878505,0,2,0,May,0.017232253,106,5633.538274,2,0,TRUE,1,8,3,2,0
Returning_Visitor,0,0,0,10,0,Dec,0.05,4,42,2,0,FALSE,0,1,2,0,0
Returning_Visitor,0,0,0,2,248,May,0.023550725,44,815.475,3,2,FALSE,0,1,2,1,0
Returning_Visitor,0,0.006818182,0,2,79.75,May,0.026893939,31,419.25,3,11,FALSE,0.8,1,2,0,0
Returning_Visitor,0,0.008333333,0,1,0,Dec,0.030925926,36,2070.325,2,0,FALSE,0,1,1,0,0
Returning_Visitor,245.8,0.02,20.42600013,2,27.46666667,Oct,null,28,524.06,1,2,FALSE,0,7,2,3,1
Returning_Visitor,0,0,44.06491359,2,0,Nov,0.00625,33,1996.816667,2,0,FALSE,0,6,4,0,1
Returning_Visitor,0,0.023529412,36.07906944,1,0,Oct,0.035294118,17,504.0833333,3,0,FALSE,0,9,1,0,1
Returning_Visitor,0,0.2,0,1,0,Jul,0.2,2,0,1,0,FALSE,0,3,1,0,0
Returning_Visitor,0,0.04,0,2,42,May,0.06,17,275.702381,2,2,FALSE,0.6,8,3,0,0
Returning_Visitor,0,0.2,0,2,0,May,0.2,1,0,1,0,FALSE,0,4,2,0,0
Returning_Visitor,0,0.006060606,11.12342124,2,16,Mar,0.021969697,33,1123.242857,13,2,FALSE,0,3,2,0,0
Returning_Visitor,21,0,0,1,183.25,Mar,0.004166667,20,651.4,2,4,FALSE,0,1,1,1,0
Returning_Visitor,0,0.2,0,2,0,Aug,0.2,1,0,3,0,FALSE,0,1,2,0,0
Returning_Visitor,0,0.06,0,2,0,June,0.09,12,277.45,13,1,FALSE,0,3,3,0,0
Returning_Visitor,0,0,0,4,0,Nov,0.04,5,168.5,2,0,FALSE,0,1,2,0,0
Returning_Visitor,0,0.2,0,2,0,Aug,0.2,1,0,1,0,TRUE,0,1,3,0,0
Returning_Visitor,0,0.1,0,2,0,Dec,0.15,2,155.5,1,0,TRUE,0,3,3,0,0
Returning_Visitor,21,0.003571429,25.76598645,2,86.27777778,Nov,0.021527778,80,2170.286706,10,7,TRUE,0,1,3,2,1
Returning_Visitor,0,0.0125,0,2,0,Nov,0.041666667,16,277.3,2,0,FALSE,0,1,2,0,0
Returning_Visitor,0,0.006153846,0,1,42.5,Dec,0.01030303,67,2413.754403,1,1,FALSE,0,6,1,0,0
Returning_Visitor,0,0.028571429,0,2,12,Nov,0.027380952,16,565.4166667,10,1,FALSE,0,1,3,0,0
Returning_Visitor,0,0.012698413,32.578313,3,17,Mar,0.044761905,20,1415.625,10,2,FALSE,0,1,3,0,0
Returning_Visitor,0,0.015533981,0,2,0,Sep,0.043527508,103,3357.053333,1,0,FALSE,0,4,2,0,0
Returning_Visitor,4,0.007272727,0,2,30,Oct,0.021707552,107,4376.902655,4,5,FALSE,0,2,2,1,0
Returning_Visitor,0,0.013333333,0,2,60.29166667,Dec,0.048666667,8,108.5,6,7,FALSE,0,2,2,0,0
Returning_Visitor,0,0.2,0,1,0,Dec,0.2,1,0,1,0,TRUE,0,1,1,0,0
Returning_Visitor,0,0.013888889,0,1,269,Mar,0.027742165,33,1109.883333,1,8,FALSE,0,4,1,0,0
New_Visitor,171.5,0,37.41814196,2,1011.361111,Mar,0.006127451,54,1405.131241,2,15,TRUE,0,3,3,2,0
Returning_Visitor,0,0,0,1,0,May,0.057142857,7,82,3,0,FALSE,0,1,4,0,0
Returning_Visitor,0,0.025,0,2,0,May,0.0375,8,72.5,4,0,FALSE,0,1,3,0,0
Returning_Visitor,0,0,0,8,149.95,Jul,0.04,1,57.4,5,4,FALSE,0,1,1,0,0
New_Visitor,9,0,86.12351528,2,38.2,Nov,0,21,1290.5,2,1,FALSE,0,9,2,1,1
Returning_Visitor,0,0,14.55428571,2,0,May,0.014285714,15,789.6666667,2,0,FALSE,0,3,2,0,1
Returning_Visitor,0,0.00625,2.734351538,2,0,Dec,0.0203125,65,732.0916667,2,1,TRUE,0,1,2,0,1
Returning_Visitor,0,0.05,0,2,0,Nov,0.066666667,4,186.25,2,0,FALSE,0,3,3,0,0
Returning_Visitor,0,0,0,2,0,Mar,0.022222222,3,39,3,0,FALSE,0,1,2,0,0
Returning_Visitor,0,0.006060606,39.41924911,4,101.0833333,Aug,0.023484848,26,349.1166667,4,7,FALSE,0,3,2,0,0
New_Visitor,19,0,83.96813664,2,131.5,Nov,0.003266621,62,1524.962997,2,1,FALSE,0,1,2,1,1
Returning_Visitor,0,0.066666667,0,1,0,Dec,0.166666667,2,135.5,3,0,FALSE,0,4,1,0,0
New_Visitor,0,0,0,2,0,May,0.01,10,154.5,13,0,FALSE,0.2,3,2,0,0
Returning_Visitor,0,0.010869565,0,1,0,May,0.027681159,46,2425.083333,2,0,FALSE,0.6,3,1,0,0
Returning_Visitor,0,0,0,1,0,May,0.05,4,46,2,0,FALSE,0,7,1,0,0
Returning_Visitor,0,0.15,0,1,0,June,0.15,8,117.8,3,0,TRUE,0,3,1,0,0
Returning_Visitor,0,0,0,5,0,Nov,0.05,4,47.5,2,0,FALSE,0,1,2,0,0
Returning_Visitor,56,0,0,1,142.5,May,0.016129032,29,1073.5,4,5,FALSE,0,5,1,1,0
Returning_Visitor,0,0.002666667,18.56148,5,37,May,0.028,25,1127.25,4,2,FALSE,0,3,2,0,0
Returning_Visitor,0,0,0,2,0,May,0.022222222,11,297.25,1,0,FALSE,0,3,2,0,0
Returning_Visitor,0,0,0,1,0,Nov,0.05,4,790,3,0,TRUE,0,4,8,0,0
New_Visitor,0,0,47.93128205,2,69,May,0.004273504,37,769,2,3,TRUE,0,3,3,0,1
New_Visitor,0,0,0,2,36.2,Aug,0.014705882,16,166.7062706,5,3,FALSE,0,6,2,0,0
Returning_Visitor,95.65,0.019666667,0,2,35.7,Aug,0.036723457,95,2383.139223,3,5,FALSE,0,1,3,5,0
Returning_Visitor,0,0,2.099045455,2,0,May,0.013068182,90,5621.599206,2,1,FALSE,0,7,2,0,0
New_Visitor,0,0.0125,21.27271783,2,0,Jul,0.033333333,7,169.9866667,2,0,FALSE,0,7,2,0,1
Returning_Visitor,14,0.007407407,0,2,156.8333333,May,0.019191919,51,865.6722222,1,10,FALSE,0,1,2,2,0
Returning_Visitor,55,0.000877193,0,2,0,May,0.018859649,38,1377.409524,4,0,FALSE,0,2,2,1,0
Returning_Visitor,0,0,59.96777143,1,161.25,May,0.015714286,32,1038.797619,2,7,FALSE,0.2,4,1,1,1
Returning_Visitor,0,0.011764706,0,4,0,Mar,0.035294118,17,588.6666667,1,0,FALSE,0,4,2,0,0
Returning_Visitor,0,0,0,1,0,May,0.045454545,10,326.6666667,1,0,TRUE,0,4,1,1,0
Returning_Visitor,79.5,0.003381995,28.03795985,2,102.5555556,Nov,0.015889736,133,3713.580105,6,4,TRUE,0,1,3,2,0
New_Visitor,0,0,45.6125,2,235,May,0.008333333,23,1193,2,2,FALSE,0,7,3,0,1
Returning_Visitor,0,0,10.3889438,2,115.5833333,Nov,0.022857143,30,1076.958333,3,6,TRUE,0,4,2,0,1
Returning_Visitor,64.5,0.013285024,0,2,46.5,Nov,0.020476218,91,3309.448776,13,2,TRUE,0,1,3,1,1
Returning_Visitor,0,0.011111111,36.51581481,1,132,May,0.027407407,20,413,2,8,FALSE,0,1,1,0,1
Returning_Visitor,0,0.05,0,2,27.25,Dec,0.066666667,1,31.5,3,2,FALSE,0,2,3,0,1
Returning_Visitor,0,0,0,2,0,Nov,0.013071895,51,1655.358333,2,0,TRUE,0,1,2,0,0
Returning_Visitor,0,0.031818182,0,1,0,May,0.047575758,23,383,4,0,TRUE,0,1,1,0,0
Returning_Visitor,0,0.013888889,0,2,0,May,0.01957672,18,292.5,1,0,FALSE,0,1,2,0,0
Returning_Visitor,0,0.005172414,0,2,0,Nov,0.031609195,58,2021.320833,2,0,FALSE,0,1,2,0,0
Returning_Visitor,0,0,0,1,0,Nov,0.018170426,21,335.4166667,10,0,FALSE,0,1,1,0,0
New_Visitor,0,0,0,1,452.5,Nov,0.002352941,18,762.2380952,2,2,FALSE,0,6,1,0,0
New_Visitor,0,0,0,2,90,May,0.014285714,4,126,5,3,FALSE,0,6,2,0,0
Returning_Visitor,0,0,0,2,0,May,0.061538462,13,252,3,0,FALSE,0,8,2,0,0
Returning_Visitor,9,0,0,1,38.57777778,Jul,0.064351852,7,584.3777778,2,5,TRUE,0,1,1,2,1
Returning_Visitor,20,0.005517241,1.963592426,4,110.5,Nov,0.021311846,137,5380.686996,10,6,FALSE,0,3,2,1,1
Returning_Visitor,0,0.024,0,2,3,Oct,0.048,24,342,1,1,FALSE,0,1,2,0,0
Returning_Visitor,0,0,0,2,0,Aug,0.022222222,6,286.2,1,0,FALSE,0,6,2,0,0
Returning_Visitor,204,0.025,0,2,661.7666667,Aug,0.042222222,8,254.25,2,6,TRUE,0,4,3,6,0
New_Visitor,0,0,0,1,242,Mar,0.014285714,12,286,2,3,TRUE,0,1,1,0,0
Returning_Visitor,258.25,0.002,0,2,225.5,Dec,0.015733333,40,1352.833333,2,11,TRUE,0,1,3,7,0
Returning_Visitor,691,0.010869565,0,1,866.4280303,Nov,0.025668172,36,1617.612554,2,9,TRUE,0,1,1,1,0
Returning_Visitor,0,0.054545455,0,2,0,May,0.109090909,11,1435,1,0,TRUE,0,1,2,0,0
Returning_Visitor,0,0,0,6,0,Feb,0.026666667,9,261.75,1,0,FALSE,0,1,2,0,0
Returning_Visitor,0,0.016666667,0,1,0,Mar,0.066666667,12,471.5,3,0,FALSE,0,6,1,0,0
Returning_Visitor,402,0.00453159,0,2,20,Nov,0.039115224,85,3881.79359,2,2,FALSE,0,1,2,3,0
New_Visitor,0,0,0,1,11,Nov,0.025,15,175.75,2,1,FALSE,0,2,1,0,0
Returning_Visitor,0,0,27.3063666,1,63.33333333,Mar,0.001666667,13,556.6666667,2,4,FALSE,0,1,1,0,1
Returning_Visitor,7,0.004318937,13.9750483,2,175.4666667,Nov,0.017004257,82,2378.377381,13,10,FALSE,0,1,3,1,1
Returning_Visitor,66,0,0,2,0,May,0.014367816,27,875.5,2,0,TRUE,0,1,4,2,0
Returning_Visitor,0,0.05,0,1,0,May,0.075,8,358,2,0,TRUE,1,1,1,0,0
Returning_Visitor,9,0.006451613,0,1,40.25,Nov,0.032319508,26,683.0292208,2,3,FALSE,0,1,1,3,1
Returning_Visitor,0,0,17.0952864,10,75.6,Aug,0.0064,122,1655.57,3,3,FALSE,0,4,2,0,1
Returning_Visitor,0,0,0,2,101,May,0.003571429,14,797.3333333,4,4,TRUE,0,4,3,0,0
Returning_Visitor,null,0,0,1,0,Jul,0.001388889,35,682.1833333,1,0,FALSE,0,3,1,2,0
Returning_Visitor,0,0.016666667,0,2,37,May,0.05,23,813,4,2,TRUE,0,7,2,0,0
New_Visitor,0,0,26.13036122,2,118.9,Nov,0.008602151,30,1216.726667,2,2,TRUE,0,6,4,0,1
Returning_Visitor,0,0,0,2,0,Dec,0.016666667,12,465.25,2,0,TRUE,0,6,3,0,0
New_Visitor,0,0,0,2,104.2,Aug,0.0125,19,456.9,6,4,TRUE,0,8,2,0,0
Returning_Visitor,101,0.004878049,6.548011382,2,92,Mar,0.024837398,76,5186.116667,2,6,FALSE,0,3,2,3,0
Returning_Visitor,0,0.046153846,0,5,0,May,0.05,14,803,3,0,FALSE,0,3,2,0,0
Returning_Visitor,77,0,10.32166068,2,12.83333333,Mar,0.012941176,31,2372.333333,2,1,FALSE,0,1,2,3,0
Returning_Visitor,0,0.016666667,0,4,0,Nov,0.051388889,24,386.75,3,0,FALSE,0,1,2,0,0
